6149479096
6147770730
6147203183,1,2,3,4,5,6,7
6145593881
6145568131
6145424908
6145336337
6145128260
6145088732
6145046606,1,2,3
6145020972,1,2,3,6,7,8,13,14,15,16
6145013663,1,2,3,4,6,8,13,14,15,16,17,18
6145005981
6144985019
6144975059
6144966722
6144934865,1,2,3,4,6,7,8,13,14,15,16,17,18
6144916382
6144913983,1,2,3,4,6,7,8,13,14,15,16,17,18
6144908511,1,2,3,4,5,6
6144898448
6144896096
6139381068,1,2,3,4,5
6139358501,1,2,3
6137311869,1,2,3,4,5
6136538680
6136402166
6135900073
6135842895
6135835969
6135697880
6135609795
6135592030,1,2,3,4,5,6,7,8,9,10,11,12,13,14
6135570667
6135520805
6135388546
6135370208
6135358060
6135254187
6135235419,1,2,3,4,6,7
6135231165
6135224599,1,2,3
6135214261
6135208546
6135202300,1,2,3
6135198145
6135186370
6135172580
6135170602,1,2,3,4,5,6,7
6135151302
6135147968,1,2,3,4,5
6135144362,1,2,3,4,5,6,7,8,9,10
6135143925
6135134364
6135132750,1,2,3
6135125000,1,2,3
6135124568
6135117047,1,2,3
6135116403
6135116181
6135112820
6135112817
6135111812
6135111559
6132785515
6131021855,1,2,3,4,5,6,7
6129365053
6128748978
6128735098
6128733345
6127351216
6127105659,1,2,3,4,5,6,7,8,9,10,11,13,14,15,16,17,18
6126955440
6126908984
6126868138
6126757316
6126705256
6126670709,1,2,3,6
6126590342,1,2,3
6126454552
6126426638
6126371432
6125804387
6125799633,1,2,3,4,6,7,8,13,14,15,16,17,18
6125790730
6125784607,1,2,3,4,5,6
6125780572
6125747947
6125746890
6125741798,1,2,3,4,6,7
6125685022
6125684013
6125655950
6125650033
6125633604
6125630400
6125608462
6125602954
6125600543
6125595316
6125590766,1,2,3,6,7,8,13,14,15,16,17,18
6125567465
6125565643
6125565199,1,2,3
6125507439
6125496621
6125494853,1,2,3,4,5,6,7
6125494178
6125480607
6125473901,1,2,3,4,6,7
6125469717,1,2,3
6125468005
6125466084
6125465062
6125462005,1,2,3,4,5,6
6125461351
6125461284
6125457033
6125455173
6125453201
6125447494
6125446115,1,2,3,4,5
6125440670
6125439069
6125433650,1,2,3,4,5
6125418257
6125416064
6125415677
6125413906
6125408770,1,2,3
6125406008
6125402712
6125398432
6125398347
6125397559,1,2,3,4
6125396951
6125394711
6125393894
6125391556
6125390671
6125388495
6125384753
6125384100
6125382761
6125381219
6125378253
6125376787
6125375572
6125375210,1,2,3,4,6,7,8,9,10
6125374099,1,2,3,6,7,8,13,14,15,16,17,18
6125373246,1,2,3,4,6,8,13,14,15,16,17,18
6125373163
6125371925
6125371826
6125370882
6125368747,1,2,3,4,5
6125368622
6125366850,1,2,3,4,5,6,7,8,13,14,15,16,17,18
6125365870,1,2,3
6125365443
6125365260
6125365185
6125364924
6125364451
6125364272
6125364170,1,2,3,4,5,6,7
6125363566
6125363070
6125363001,1,2,3,4,5,6,7,8,13,14,15,16,17,18
6125362857
6125362448,1,2,3
